Terms,Replace
"[ ]{1,}computer sciencestatistics[ ]{1,}",   computer-science   
"[ ]{1,}statistical[ ]{1,}",   statistics   
"[ ]{1,}mysql[ ]{1,}",   sql   
"[ ]{1,}nosql[ ]{1,}",   sql   
"[ ]{1,}accesssql[ ]{1,}",   sql   
"[ ]{1,}mysqlpostgresql[ ]{1,}",   sql   
"[ ]{1,}rsql[ ]{1,}",   sql   
"[ ]{1,}sqlhive[ ]{1,}",   big-data   
"[ ]{1,}sqlhive[ ]{1,}",   big-data   
"[ ]{1,}sqlhivespark[ ]{1,}",   big-data   
"[ ]{1,}sqlmastery[ ]{1,}",   sql   
"[ ]{1,}sqlpreferred[ ]{1,}",   sql   
"[ ]{1,}sqlstatistics[ ]{1,}",   sql   
"[ ]{1,}hadoop-ecosystembachelor[ ]{1,}",   big-data   
"[ ]{1,}hadoopknowledge[ ]{1,}",   big-data   
"[ ]{1,}apache-spark[ ]{1,}",   big-data   
"[ ]{1,}apache-sparklrs[ ]{1,}",   big-data   
"[ ]{1,}pyspark[ ]{1,}",   big-data   
"[ ]{1,}hadoop[ ]{1,}",   big-data   
"[ ]{1,}spark[ ]{1,}",   big-data   
"[ ]{1,}models[ ]{1,}",   modeling   
"[ ]{1,}model[ ]{1,}",   modeling   
"[ ]{1,}predictive-modelingassess[ ]{1,}",   modeling   
"[ ]{1,}predictive-modelingwhat[ ]{1,}",   modeling   
"[ ]{1,}machine[ ]{1,}",   machine-learning   
"[ ]{1,}machine-learningexperience[ ]{1,}",   machine-learning   
"[ ]{1,}machinekeywords[ ]{1,}",   machine-learning   
"[ ]{1,}machinelearning[ ]{1,}",   machine-learning   
"[ ]{1,}machine-learningbut[ ]{1,}",   machine-learning   
"[ ]{1,}machine-learningmachine[ ]{1,}",   machine-learning   
"[ ]{1,}machine-learningmust[ ]{1,}",   machine-learning   
"[ ]{1,}machine-learningrecommending[ ]{1,}",   machine-learning   
"[ ]{1,}analytical[ ]{1,}",   analytics   
"[ ]{1,}programmatically[ ]{1,}",   programming   
"[ ]{1,}programmable[ ]{1,}",   programming   
"[ ]{1,}programmingbe[ ]{1,}",   programming   
"[ ]{1,}programmingexperience[ ]{1,}",   programming   
"[ ]{1,}programmingminimum[ ]{1,}",   programming   
"[ ]{1,}programmingscripting[ ]{1,}",   programming   
"[ ]{1,}programmingsolid[ ]{1,}",   programming   
"[ ]{1,}softwarealgorithm[ ]{1,}",   software   
"[ ]{1,}softwareexperience[ ]{1,}",   software   
"[ ]{1,}softwares[ ]{1,}",   software   
"[ ]{1,}softwaretools[ ]{1,}",   software   
"[ ]{1,}researchers[ ]{1,}",   research   
"[ ]{1,}researcher[ ]{1,}",   research   
"[ ]{1,}researches[ ]{1,}",   research   
"[ ]{1,}researchfocused[ ]{1,}",   research   
"[ ]{1,}academicresearch[ ]{1,}",   research   
"[ ]{1,}businessresearch[ ]{1,}",   research   
"[ ]{1,}researchanalytical[ ]{1,}",   research   
"[ ]{1,}researched[ ]{1,}",   research   
"[ ]{1,}researchersubject[ ]{1,}",   research   
"[ ]{1,}researching[ ]{1,}",   research   
"[ ]{1,}researchresponsibilitiesexploratory[ ]{1,}",   research   
"[ ]{1,}researchscientific[ ]{1,}",   research   
"[ ]{1,}algorithm[ ]{1,}",   algorithms   
"[ ]{1,}algorithmic[ ]{1,}",   algorithms   
"[ ]{1,}algorithmsdesired[ ]{1,}",   algorithms   
"[ ]{1,}algorithmsexperience[ ]{1,}",   algorithms   
"[ ]{1,}algorithmsim[ ]{1,}",   algorithms   
"[ ]{1,}algorithmswhat[ ]{1,}",   algorithms   
"[ ]{1,}protocolalgorithms[ ]{1,}",   algorithms   
"[ ]{1,}mining[ ]{1,}",   data-mining   
"[ ]{1,}data-miningstrong[ ]{1,}",   data-mining   
"[ ]{1,}data-miningunderstanding[ ]{1,}",   data-mining   
"[ ]{1,}mathematicians[ ]{1,}",   mathematics   
"[ ]{1,}mathstatistics[ ]{1,}",   mathematics   
"[ ]{1,}analytic[ ]{1,}",   analytics   
"[ ]{1,}phds[ ]{1,}",   phd   
"[ ]{1,}qualificationsphd[ ]{1,}",   phd   
"[ ]{1,}msphd[ ]{1,}",   phd   
"[ ]{1,}phddecent[ ]{1,}",   phd   
"[ ]{1,}postphd[ ]{1,}",   phd   
"[ ]{1,}predictive[ ]{1,}",   modeling   
"[ ]{1,}program[ ]{1,}",   programming   
"[ ]{1,}solve[ ]{1,}",   problem-solving   
"[ ]{1,}problems[ ]{1,}",   problem-solving   
"[ ]{1,}problem[ ]{1,}",   problem-solving   
"[ ]{1,}languages[ ]{1,}",   programming   
"[ ]{1,}languages[ ]{1,}",   programming   
"[ ]{1,}processing[ ]{1,}",   data-processing   
"[ ]{1,}process[ ]{1,}",   data-processing   
"[ ]{1,}intelligence[ ]{1,}",   artificial-intelligence   
"[ ]{1,}business intelligenceanalysis[ ]{1,}",   artificial-intelligence   
"[ ]{1,}business intelligenceexpert[ ]{1,}",   artificial-intelligence   
"[ ]{1,}defenseintelligence[ ]{1,}",   artificial-intelligence   
"[ ]{1,}quantitative[ ]{1,}",   analytics   
